id	ja	zh-TW	en	ko
1	ピース	V字形手勢	Peace sign	V사인
2	手を振る	揮手	Wave hands	손 흔들기
3	大きく手を振る	大力揮手	Wave arms	크게 손 흔들기
4	遠くを見る	遙望遠方	Look far away	멀리 보기
5	指さし	指著	Pointing	가리키기
6	見上げる	抬頭	Look up	올려다보기
7	振り返る	回望	Look back	되돌아보기
8	サムズアップ	豎起大拇指	Thumbs up	엄지척
9	仁王立ち	仁王立	Imposing stance	우뚝 버티어 섬
10	おー！	哦！	Oh!	오!
11	腕組み	雙臂交叉	Arms crossed	팔짱
12	ガッツポーズ	加油姿勢	Guts pose	승리 포즈
13	ピース（座り）	V字形手勢(坐著)	Peace sign (sitting)	V사인 (앉아서)
14	コップを持つ（座り）	捧杯(坐著)	Have a cup (sitting)	컵 들기 (앉아서)
15	サムズアップ（座り）	豎起大拇指(坐著)	Thumbs up (sitting)	엄지척 (앉아서)
16	手を振る（座り）	揮手(坐著)	Wave hands (sitting)	손 흔들기 (앉아서)
17	挙手（座り）	舉手(坐著)	Raise your hand (sitting)	손들기 (앉아서)
18	おー！（座り）	哦！(坐著)	Oh! (sitting)	오! (앉아서)
102	通常	一般	Normal	일반
112	にっこり	微笑	Gentle smile	생긋
122	笑顔	笑容	Smile	미소
132	怒り	憤怒	Anger	분노
142	悲しい	傷心	Sad	슬픔
152	驚き	驚訝	Surprise	놀람
99999	共通モーションテスト	共通動作測試	Common Motion Test	공통 모션 테스트
