id	ja	zh-TW	en	ko
1	初期称号	將夥伴等級提升至{0}	Raise Partner Lv to {0}	초기 칭호
2	"サポートカードを
{0}個獲得する"	獲得{0}張輔助卡	"Number of support cards
 collected: {0}"	"서포트 카드를
 {0}개 획득"
3	"サポートカードを
{0}個強化する"	強化{0}張輔助卡	"Number of support cards
 enhanced: {0}"	"서포트 카드를
 {0}개 강화"
4	"サポートカードを
{0}回ランクアップする"	提升{0}次輔助卡階級	"Number of support cards
 ranked up: {0}"	"서포트 카드를
 {0}회 랭크 업"
5	"サポートカードを
{0}回限界突破する"	突破{0}次輔助卡極限	"Number of breakthrough
 support cards: {0}"	"서포트 카드를
 {0}회 한계 돌파"
6	"{ta_mi_mn}がメインの
キャンプに{0}回行く"	"進行{0}次以
{ta_mi_mn}為主的露營"	"Number of times {ta_mi_mn}
 visited the main camp: {0}"	"{ta_mi_mn}를 메인 캐릭터로
 선택하여 {0}회 캠핑"
7	"{ta_mi_mn}のコスチュームを
{0}個獲得する"	"獲得{0}件
{ta_mi_mn}的服裝"	"Number of {ta_mi_mn} costumes
 collected: {0}"	"{ta_mi_mn}의 코스튬을
 {0}개 획득"
8	"{ta_mi_mn}のキャラストーリーを
{0}種類見る"	"觀看{0}種
{ta_mi_mn}的角色故事"	"Number of {ta_mi_mn} character stories
 viewed: {0}"	"{ta_mi_mn}의 캐릭터 스토리를
 {0}종류 보기"
9	"{ta_mi_mn}のコスチュームを
{0}個強化する"	"強化{0}件
{ta_mi_mn}的服裝"	"Number of {ta_mi_mn} costumes
 enhanced: {0}"	"{ta_mi_mn}의 코스튬을
 {0}개 강화"
10	"{ta_mi_mn}のコスチュームを
{0}回ランクアップする"	"提升{0}次
{ta_mi_mn}的服裝階級"	"Number of {ta_mi_mn} costumes
 ranked up: {0}"	"{ta_mi_mn}의 코스튬을
 {0}회 랭크 업"
11	"{ta_mi_mn}のコスチュームを
{0}回限界突破する"	"突破{0}次
{ta_mi_mn}的服裝極限"	"Number of {ta_mi_mn} breakthrough
 costumes: {0}"	"{ta_mi_mn}의 코스튬을
 {0}회 한계 돌파"
12	"{ta_mi_mn}のサポートカードを
{0}個獲得する"	"獲得{0}張
{ta_mi_mn}的輔助卡"	"Number of {ta_mi_mn} support cards
 collected: {0}"	"{ta_mi_mn}의 서포트 카드를
 {0}개 획득"
13	"{ta_mi_mn}のサポートカードを
{0}個強化する"	"強化{0}張
{ta_mi_mn}的輔助卡"	"Number of {ta_mi_mn} support cards
 enhanced: {0}"	"{ta_mi_mn}의 서포트 카드를
 {0}개 강화"
14	"{ta_mi_mn}のサポートカードを
{0}回ランクアップする"	"提升{0}次
{ta_mi_mn}的輔助卡階級"	"Number of {ta_mi_mn} support cards
 ranked up: {0}"	"{ta_mi_mn}의 서포트 카드를
 {0}회 랭크 업"
15	"{ta_mi_mn}のサポートカードを
{0}回限界突破する"	"突破{0}次
{ta_mi_mn}的輔助卡極限"	"Number of {ta_mi_mn} breakthrough
 support cards: {0}"	"{ta_mi_mn}의 서포트 카드를
 {0}회 한계 돌파"
16	{ta_mi_mn}がメインのキャンプに{0}回行く	進行{0}次以{ta_mi_mn}為主的露營	Number of times {ta_mi_mn} visited the main camp: {0}	{ta_mi_mn}을 메인 캐릭터로 선택하여 {0}회 캠핑
17	"『旅キャンはじまり！
RECAMPおだわら』の
イベントやる事リストを全てクリアする"	完成『出發去旅遊露營！RECAMP小田原』的活動要事清單。	"Complete the Event To-Do List for ""Travel Camping Begins! RECAMP Odawara""."	"""여행캠 시작! RECAMP 오다와라""의 이벤트 할 일 리스트를 모두 클리어하기"
18	『ブロンズ会員』の称号を獲得する	獲得『銅牌會員』的稱號	"Obtain the ""Bronze MBR"" Title"	『브론즈 회원』 의 칭호를 획득하다
