id	ja	zh-TW	en	ko
1001	グルキャン１	グルキャン１	グルキャン１	グルキャン１
1002	グルキャン２	グルキャン２	グルキャン２	グルキャン２
1003	グルキャン３	グルキャン３	グルキャン３	グルキャン３
1004	グルキャン４	グルキャン４	グルキャン４	グルキャン４
1005	グルキャン５	グルキャン５	グルキャン５	グルキャン５
1006	グルキャン６	グルキャン６	グルキャン６	グルキャン６
1007	グルキャン７	グルキャン７	グルキャン７	グルキャン７
1008	グルキャン８	グルキャン８	グルキャン８	グルキャン８
11000	---	---	---	---
11001	シック	时髦	Chic	시크
11002	ナチュラル	自然	Natural	내추럴
11003	キュート	可爱	Cute	큐트
11004	モダン	现代	Modern	모던
11005	ワイルド	野性	Wild	와일드
12001	お正月	新年	New Year's Day	설날
12002	クリスマス	圣诞节	Christmas	크리스마스
12003	バレンタイン	情人节	Valentine's Day	발렌타인데이
12004	ハロウィン	万圣节	Halloween	할로윈
12005	夏祭り	夏季祭典	Summer festival	여름 축제
13001	お料理キャンプ	料理露营	お料理キャンプ	요리 캠핑
13002	旅キャン(伊豆編)	出发露营(伊豆編)	旅キャン(伊豆編)	여행캠(이즈 편)
13003	旅キャン(伊豆編)	出发露营(伊豆編)	旅キャン(伊豆編)	여행캠(이즈 편)
