id	ja	zh-TW	en	ko
85010010	リンのテント	凜的帳篷	Rin's Tent	린의 텐트
85010020	野クルのテント（オレンジ）	野活組的帳篷（橘色）	Outclub Tent (OR)	야클 텐트(오렌지)
85010030	ロッジテント	小屋帳	Lodge Tent	로지 텐트
85010040	ドームテント	圓頂帳	Dome Tent	돔 텐트
85010050	Ａフレームテント	A型帳	A-Frame Tent	A 프레임 텐트
85010060	ワンタッチテント	一鍵式速搭帳	Inflatable Tent	원터치 텐트
85010070	鳥羽先生の妹のテント	鳥羽老師的妹妹的帳篷	Ms. Toba's Sister's Tent	토바 선생님 여동생의 텐트
85010080	ファミリーテント	家庭帳	Family Tent	패밀리 텐트
85010090	ヒーター付きテント	附暖爐帳篷	Heated Tent	히터 달린 텐트
85010100	自転車用キャンピングカー	自行車用露營車	Bicycle Camper	자전거용 캠핑카
85010110	スノーテント	雪地帳	Snow Tent	스노우 텐트
85010120	ドギーテント	狗狗帳	Doggy Tent	도기 텐트
85010130	飯田さんのテント	飯田先生的帳篷	Ida's Tent	이이다 씨의 텐트
85010140	一宮さんのテント	一宮先生的帳篷	Ichimiya's Tent	이치노미야 씨의 텐트
85010150	ツェルト	小型簡易帳	Bivouac	첼트
85010190	リンの祖父のワンポールテント	凜的爺爺的單柱帳	Rin's Grandfather's Single-Pole Tent	린의 할아버지의 원폴 텐트
85010200	ツーリングテント	騎旅帳	Touring Tent	투어링 텐트
85010201	ツーリングテント(OR)	騎旅帳(OR)	Touring Tent (OR)	투어링 텐트(오렌지)
85010202	ツーリングテント(BL)	騎旅帳(BL)	Touring Tent (BL)	투어링 텐트(블루)
85010203	ツーリングテント(BE)	騎旅帳(BE)	Touring Tent (BE)	투어링 텐트(베이지)
85010204	ツーリングテント(KA)	騎旅帳(KA)	Touring Tent (KA)	투어링 텐트(카키)
85010205	ツーリングテント(BR)	騎旅帳(BR)	Touring Tent (BR)	투어링 텐트(브라운)
85010206	ツーリングテント(WL)	騎旅帳(WL)	Touring Tent (WL)	투어링 텐트(우드랜드)
