id	ja	zh-TW	en	ko
1	ふじさんとまったり本栖湖キャンプ	富士山和本栖湖悠閒露營	Relaxing Lake Motosu Camp with Fuji	후지산과 느긋한 모토스호 캠핑
2	イベント・ミッションテスト用	活動・任務測試用	Event Mission Test	이벤트・미션 테스트용
3	テストキャンプ	測試露營	Test Camp	테스트 캠핑
1000	本栖湖デイキャンプ！	本栖湖日間露營！	Lake Motosu Day Camp!	모토스호 데이 캠핑!
1011	みんなで本栖湖、薪割り競争	大家一起到本栖湖，挑戰劈柴	Wood-Chopping at Lake Motosu	다 함께 모토스호, 장작 패기 경쟁
1021	ちくわと遊ぼう！	一起玩竹輪吧！	Let's play with Chikuwa!	치쿠와와 놀자!
1031	夜の灯りとお料理キャンプ	夜晚燈光與美食露營	Nighttime Lights and Cooking Camp	밤의 불빛과 요리 캠핑
1041	ウッドキャンドルりべんじ！	木頭蠟燭復仇！	Wood Candle Revenge!	우드 캔들 리벤지!
1051	夏の海でスイカ割り	在夏天海邊打西瓜	Summer Beach Watermelon Games	여름 바다에서 수박 깨기
2001	イベントキャンプ	活動露營	Event Camp	이벤트 캠핑
3001	本栖湖キャンプ場	本栖湖露營地	Lake Motosu Campground	모토스호 캠핑장
3002	麓キャンプ場	山麓露營地	Foothill Campground	후모토 캠핑장
3003	高ボッチ高原	高ボッチ高原	Takabocchi Plateau	타카봇치 고원
3004	イーストウッドキャンプ場	伊斯特伍德露營地	Eastwood Campground	이스트우드 캠핑장
3005	海辺のキャンプ場	海邊的露營地	Seaside Campsite	해변의 캠핑장
