id	ja	zh-TW	en	ko
1	広告動画を見たら、1日1回無料でガチャが引けるようになります			
2	「宿題」に広告動画を見るという宿題が追加され、クリア報酬が入手できます。1日2回リセットされます。			
3	パズル後			
4	パズル失敗後のダイアログに「広告動画を見ると無料でコンティニュー」のボタンが追加され、動画を見ることで無料で1日3回までコンティニューできます。			
5	時間短縮の確認ダイアログに「広告動画を見ると無料で3時間短縮」のボタンが追加され、動画を見ることで宿題の待ち時間が3時間(180分)短縮されます			
6	チャレンジ実行確認ダイアログに「広告動画を見ると無料でランクアップ」のボタンが追加され、動画を見ることでチャレンジランクアップ+120%の消費コインが無料になります。			
7	AP回復			
8	広告動画を見たら、1日1回無料で時限パズルが開放できます。			
9	広告動画を見たら、1日1回無料で曜日パズルが開放できます。			
10	広告動画を見たら、1日1回アイテムが購入できます。			
11	CM視聴で1日1回無料でガチャが引けるようになります			
